2026-02-17 12:20:23 | INFO | pages.LoginPage | Login with user:standard_user
2026-02-17 12:20:23 | INFO | pages.HomePage | Assert Home page loaded (inventory)
2026-02-17 12:20:23 | INFO | pages.HomePage | Open product from list: Sauce Labs Backpack
2026-02-17 12:20:23 | INFO | pages.ProductPage | Assert Product page loaded: Sauce Labs Backpack
2026-02-17 12:20:23 | INFO | pages.ProductPage | Add item to cart
2026-02-17 12:20:23 | INFO | pages.ProductPage | Back to Home (Products list)
2026-02-17 12:20:23 | INFO | pages.HomePage | Assert Home page loaded (inventory)
2026-02-17 12:20:23 | INFO | pages.HomePage | Open product from list: Sauce Labs Bike Light
2026-02-17 12:20:24 | INFO | pages.ProductPage | Assert Product page loaded: Sauce Labs Bike Light
2026-02-17 12:20:24 | INFO | pages.ProductPage | Add item to cart
2026-02-17 12:20:24 | INFO | pages.ProductPage | Back to Home (Products list)
2026-02-17 12:20:24 | INFO | pages.HomePage | Open Cart from icon
2026-02-17 12:20:24 | INFO | pages.CartPage | Check out page is loaded
2026-02-17 12:20:24 | INFO | pages.CartPage | Assert item count is equal to expected count
2026-02-17 12:20:24 | INFO | pages.CartPage | Assert item is present in cart
2026-02-17 12:20:24 | INFO | pages.CartPage | Assert item is present in cart
2026-02-17 12:20:24 | INFO | pages.CartPage | Click checkout button
2026-02-17 12:20:24 | INFO | pages.ShippingPage | Assert Shipping page loaded
2026-02-17 12:20:24 | INFO | pages.ShippingPage | Entering Shipping Details:Moataz Mustafa
2026-02-17 12:20:24 | INFO | pages.ShippingPage | Continue to Checkout
2026-02-17 12:20:24 | INFO | pages.CheckoutPage | Checkout page is loaded
2026-02-17 12:20:24 | INFO | pages.CheckoutPage | Checking totals on Checkout page
2026-02-17 12:20:24 | INFO | pages.CheckoutPage | finish checkout
2026-02-17 12:20:24 | INFO | pages.SuccessPage | Assert login page is loaded
2026-02-17 12:20:24 | INFO | pages.SuccessPage | Assert success message is visible
2026-02-17 12:20:24 | INFO | pages.HomePage | Logout from menu
