2026-02-17 12:13:43 | INFO | pages.LoginPage | Login with user:standard_user
2026-02-17 12:13:43 | INFO | pages.HomePage | Assert Home page loaded (inventory)
2026-02-17 12:13:43 | INFO | pages.HomePage | Open product from list: Sauce Labs Backpack
2026-02-17 12:13:43 | INFO | pages.ProductPage | Assert Product page loaded: Sauce Labs Backpack
2026-02-17 12:13:43 | INFO | pages.ProductPage | Add item to cart
2026-02-17 12:13:43 | INFO | pages.ProductPage | Back to Home (Products list)
2026-02-17 12:13:43 | INFO | pages.HomePage | Assert Home page loaded (inventory)
2026-02-17 12:13:43 | INFO | pages.HomePage | Open product from list: Sauce Labs Bike Light
2026-02-17 12:13:44 | INFO | pages.ProductPage | Assert Product page loaded: Sauce Labs Bike Light
2026-02-17 12:13:44 | INFO | pages.ProductPage | Add item to cart
2026-02-17 12:13:44 | INFO | pages.ProductPage | Back to Home (Products list)
2026-02-17 12:13:44 | INFO | pages.HomePage | Open Cart from icon
2026-02-17 12:13:44 | INFO | pages.CartPage | Check out page is loaded
2026-02-17 12:13:44 | INFO | pages.CartPage | Assert item count is equal to expected count
2026-02-17 12:13:44 | INFO | pages.CartPage | Assert item is present in cart
2026-02-17 12:13:44 | INFO | pages.CartPage | Assert item is present in cart
2026-02-17 12:13:44 | INFO | pages.CartPage | Click checkout button
2026-02-17 12:13:44 | INFO | pages.ShippingPage | Assert Shipping page loaded
2026-02-17 12:13:44 | INFO | pages.ShippingPage | Entering Shipping Details:Moataz Mustafa
2026-02-17 12:13:44 | INFO | pages.ShippingPage | Continue to Checkout
2026-02-17 12:13:44 | INFO | pages.CheckoutPage | Checkout page is loaded
2026-02-17 12:13:44 | INFO | pages.CheckoutPage | Checking totals on Checkout page
2026-02-17 12:13:44 | INFO | pages.CheckoutPage | finish checkout
2026-02-17 12:13:44 | INFO | pages.SuccessPage | Assert login page is loaded
2026-02-17 12:13:44 | INFO | pages.SuccessPage | Assert success message is visible
2026-02-17 12:13:44 | INFO | pages.HomePage | Logout from menu
2026-02-17 12:20:23,542 | INFO | pages.LoginPage | Login with user:standard_user
2026-02-17 12:20:23,724 | INFO | pages.HomePage | Assert Home page loaded (inventory)
2026-02-17 12:20:23,736 | INFO | pages.HomePage | Open product from list: Sauce Labs Backpack
2026-02-17 12:20:23,818 | INFO | pages.ProductPage | Assert Product page loaded: Sauce Labs Backpack
2026-02-17 12:20:23,826 | INFO | pages.ProductPage | Add item to cart
2026-02-17 12:20:23,844 | INFO | pages.ProductPage | Back to Home (Products list)
2026-02-17 12:20:23,939 | INFO | pages.HomePage | Assert Home page loaded (inventory)
2026-02-17 12:20:23,953 | INFO | pages.HomePage | Open product from list: Sauce Labs Bike Light
2026-02-17 12:20:24,032 | INFO | pages.ProductPage | Assert Product page loaded: Sauce Labs Bike Light
2026-02-17 12:20:24,041 | INFO | pages.ProductPage | Add item to cart
2026-02-17 12:20:24,051 | INFO | pages.ProductPage | Back to Home (Products list)
2026-02-17 12:20:24,130 | INFO | pages.HomePage | Open Cart from icon
2026-02-17 12:20:24,196 | INFO | pages.CartPage | Check out page is loaded
2026-02-17 12:20:24,204 | INFO | pages.CartPage | Assert item count is equal to expected count
2026-02-17 12:20:24,208 | INFO | pages.CartPage | Assert item is present in cart
2026-02-17 12:20:24,212 | INFO | pages.CartPage | Assert item is present in cart
2026-02-17 12:20:24,216 | INFO | pages.CartPage | Click checkout button
2026-02-17 12:20:24,289 | INFO | pages.ShippingPage | Assert Shipping page loaded
2026-02-17 12:20:24,297 | INFO | pages.ShippingPage | Entering Shipping Details:Moataz Mustafa
2026-02-17 12:20:24,325 | INFO | pages.ShippingPage | Continue to Checkout
2026-02-17 12:20:24,407 | INFO | pages.CheckoutPage | Checkout page is loaded
2026-02-17 12:20:24,415 | INFO | pages.CheckoutPage | Checking totals on Checkout page
2026-02-17 12:20:24,419 | INFO | pages.CheckoutPage | finish checkout
2026-02-17 12:20:24,488 | INFO | pages.SuccessPage | Assert login page is loaded
2026-02-17 12:20:24,497 | INFO | pages.SuccessPage | Assert success message is visible
2026-02-17 12:20:24,501 | INFO | pages.HomePage | Logout from menu
